TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
2.97765,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4160821,1.20135,-1.874322,0.9975608,0.02709414,0.06431496,0.001423165
3.077818,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4157147,1.206342,-1.877099,0.9983646,0.002521918,0.05689374,-0.004995267
3.188296,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4160199,1.209518,-1.880175,0.9986967,-0.01256466,0.04925333,-0.004602415
3.28835,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4186061,1.210539,-1.882326,0.999359,-0.01595119,0.02391086,-0.02134406
3.388752,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4213221,1.210449,-1.882547,0.9993852,-0.02038972,-6.982507E-05,-0.02852536
3.49942,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4217846,1.207973,-1.881966,0.9994454,-0.01661962,-0.0002011506,-0.02885587
3.599518,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4229571,1.20586,-1.882007,0.99964,-0.004891164,0.008910347,-0.02483377
3.710738,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4256602,1.204253,-1.880989,0.9998859,0.005615062,0.008973139,-0.01078161
3.821948,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4284191,1.20396,-1.87963,0.9999086,0.008586449,-0.0003404332,-0.01044796
3.932809,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4294341,1.204947,-1.88138,0.9998393,0.006216667,-0.01098291,-0.01273821
4.043526,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4296227,1.205023,-1.88283,0.9998711,0.003176622,-0.01212693,-0.01003974
4.154535,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4290156,1.205336,-1.883295,0.999898,0.002745932,-0.009271763,-0.01051827
4.255015,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4285328,1.205726,-1.883556,0.9999248,0.0003654331,-0.007459539,-0.009726185
4.366086,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4285084,1.20573,-1.883533,0.9999393,-9.731536E-05,-0.006847701,-0.008643079
4.476903,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.427731,1.207151,-1.883411,0.9999214,-0.008255418,-0.002155816,-0.0091913
4.587623,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4268686,1.209598,-1.883881,0.9997474,-0.01989319,0.007080407,-0.007702845
4.687696,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4260162,1.211259,-1.884572,0.9994726,-0.02930712,0.01072109,-0.008984912
4.787862,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4269704,1.211271,-1.884446,0.9995419,-0.02828756,0.005129057,-0.009468125
