"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"73",73,135.3815,1,NA,1,-0.689135294,31.0140451,-6.103729412,-0.3092685,0.0771104,-0.9468073,4.4268457,16.6974879,1.22363717671597,-20.1541693730954,0.4866121,-0.0077315,-0.8734031,-0.4430556,26.4055382,1.74592235203729,-19.2250470592036
"74",74,135.4037,1,NA,1,-0.711235294,31.0513451,-6.122729412,-0.3093795,0.0769521,-0.946784,4.4177375,16.7039743,0.527684418976244,3.93523104058403,0.4869608,-0.0080929,-0.8732055,-0.4637701,26.4285086,1.02103448096607,-5.50693431562206
"75",75,135.4258,1,NA,1,-0.748135294,31.0140451,-6.086629412,-0.3095402,0.0761871,-0.9467933,4.3737384,16.7125955,1.39443946637859,44.1177336368456,0.4868035,-0.0087757,-0.8732866,-0.5028988,26.4183701,1.49925059460685,11.666819451795
"76",76,135.4481,1,NA,1,-0.771235294,30.9546451,-6.032229412,-0.3097539,0.0755278,-0.9467762,4.3358151,16.7245813,2.48749140209997,49.3471671636944,0.4865204,-0.00924,-0.8734396,-0.529505,26.3999288,1.53704688088188,35.3741412672583
"77",77,135.4706,1,"B6",NA,-0.845235294,30.8151451,-5.881229412,-0.3106362,0.0736697,-0.9466336,4.2289513,16.7753573,3.6052588323697,-17.8790650790351,0.4861197,-0.0106982,-0.873646,-0.6130721,26.3741163,3.0907479714861,4.29786115495575
"78",78,135.4926,1,"B6",NA,-0.846535294,30.6905451,-5.763229412,-0.3111527,0.0730268,-0.9465138,4.1919813,16.8057255,1.72565181484796,3.64417263593028,0.4855746,-0.0108539,-0.8739471,-0.6219932,26.338426,1.76067946259967,16.9179176318717
"79",79,135.5148,1,"B6",NA,-0.909635294,30.6580451,-5.758529412,-0.3108477,0.0718748,-0.9467022,4.1257364,16.7856858,3.78414743392604,70.1236595927367,0.4851257,-0.0119551,-0.8741821,-0.6851014,26.3093983,3.85399504623877,64.7871982843129
"80",80,135.5374,1,"B6",NA,-1.010535294,30.6117451,-5.794029412,-0.3097125,0.0700581,-0.9472102,4.0212801,16.7145602,4.85815121728409,47.6009820460705,0.4839982,-0.0136676,-0.8747817,-0.7832447,26.2362234,4.65134342714641,-29.4356608481826
"81",81,135.5592,1,"B6",NA,-1.040435294,30.3813451,-5.567729412,-0.3107984,0.0684422,-0.9469727,3.9283805,16.7781407,5.89756808417378,-67.7557126302371,0.4830782,-0.0144382,-0.8752778,-0.8274084,26.176323,2.59882495470425,-38.295479728621
"82",82,135.5704,1,"B6",NA,-1.016235294,30.2681451,-5.436329412,-0.3116701,0.0682618,-0.9466991,3.9180119,16.8306572,3.84582778597359,-79.0531442486096,0.4828643,-0.0141601,-0.8754003,-0.8114692,26.1621957,2.79551111205558,131.609775303865
"83",83,135.5925,1,"B6",NA,-1.070635294,30.3155451,-5.422629412,-0.3124352,0.0676404,-0.9464915,3.88229,16.8761658,4.40020207716837,-22.2398259467246,0.4837381,-0.01512,-0.8749017,-0.8664805,26.2198493,8.22455924499729,188.65083158711
"84",84,135.6149,1,"B6",NA,-1.170135294,30.8995451,-5.927429412,-0.3107881,0.0689985,-0.9469357,3.960363,16.7782388,2.84195814069297,27.8592659918585,0.4868324,-0.0162871,-0.8731627,-0.933373,26.4232772,11.1733708811899,-22.5299280394577
"85",85,135.637,1,"B6",NA,-1.128335294,31.3266451,-6.229229412,-0.310702,0.0718175,-0.9467543,4.1224385,16.776788,5.61071229557259,190.698545809447,0.489883,-0.0152073,-0.8714744,-0.8714829,26.6230966,7.26822943863953,-224.848138320619
"86",86,135.6483,1,"B6",NA,-1.069535294,31.3656451,-6.227329412,-0.3111898,0.0729363,-0.9465085,4.1867754,16.8078495,8.50480160506902,130.673957685018,0.4905065,-0.0141889,-0.8711407,-0.8131223,26.6636162,4.1834080420413,-158.869860605532
"87",87,135.6703,1,"B6",NA,-0.911035294,31.0397451,-5.837929412,-0.3139157,0.0737649,-0.9455437,4.2344238,16.974104,8.61994558313103,-65.0085649602792,0.4900293,-0.01189,-0.8714437,-0.6813726,26.6312684,3.1989811422237,-2.28979788666387
"88",88,135.6924,1,"B6",NA,-0.753435294,30.8054451,-5.532029412,-0.3163027,0.0750599,-0.9446459,4.308905,17.1206644,5.6308996521069,-174.800222464682,0.4899868,-0.0094911,-0.871497,-0.5438922,26.6276511,4.08667364317737,42.0671233635658
"89",89,135.7038,1,"B6",NA,-0.681735294,30.7931451,-5.494929412,-0.3167851,0.0761228,-0.9443992,4.3700363,17.1514807,3.18731537690946,-61.7703618778051,0.4902312,-0.0082853,-0.8713718,-0.4747959,26.643373,4.58789932686823,45.4724089424371
"90",90,135.7257,1,"B6",NA,-0.537735294,30.9072451,-5.585629412,-0.3166208,0.0789484,-0.9442222,4.5325833,17.1457599,5.17602752900979,-4.23839148652912,0.490937,-0.0056856,-0.8709952,-0.3258122,26.6892074,5.61670991987789,-24.0461993667167
"91",91,135.7482,1,"B6",NA,-0.477535294,31.1242451,-5.786729412,-0.3158022,0.0809745,-0.9443248,4.6491581,17.0992199,2.94210249557264,-43.7165382037321,0.4919353,-0.0044187,-0.8704391,-0.2532114,26.7546902,3.47763376377534,-97.6833079751884
"92",92,135.7702,1,"B6",NA,-0.458535294,31.2039451,-5.838629412,-0.3158624,0.0816707,-0.9442447,4.6892208,17.1039719,3.20285706952388,80.294577187578,0.4925528,-0.0040306,-0.8700917,-0.2309756,26.7952916,1.27110934327856,-27.0197543603685
"93",93,135.7816,1,"B6",NA,-0.450735294,31.1379451,-5.755729412,-0.3164752,0.0814627,-0.9440575,4.677249,17.1408262,4.89845515017266,103.571147290684,0.4924993,-0.0039876,-0.8701222,-0.2285113,26.7917604,1.79843977993863,74.0242871084566
"94",94,135.8036,1,"B6",NA,-0.408235294,30.8743451,-5.472429412,-0.3181315,0.0808128,-0.9435565,4.639855,17.2403524,6.18337880866017,-3.9534578230927,0.4917394,-0.0035573,-0.8705538,-0.2038528,26.7416821,4.03785318406841,46.1639405802335
"95",95,135.8257,1,"B6",NA,-0.369035294,30.5030451,-5.094729412,-0.3201012,0.0795935,-0.9429938,4.569698,17.3580877,4.71787175230589,-58.4219471730028,0.4904243,-0.0032676,-0.8712964,-0.1872478,26.6551327,3.82870680174689,-52.1547829992389
"96",96,135.8481,1,"B6",NA,-0.374035294,30.2964451,-4.897829412,-0.3209722,0.0785018,-0.9427893,4.5068867,17.4093154,3.58596933625528,-5.14555709415933,0.4895396,-0.00355,-0.8717927,-0.2034323,26.5970072,1.70415799686727,-29.7668628925814
"97",97,135.8702,1,"B6",NA,-0.438835294,30.4060451,-5.028329412,-0.3200704,0.0780209,-0.9431357,4.4792229,17.3537844,4.47527872138834,4.86143952830628,0.4897076,-0.0045476,-0.8716937,-0.2606002,26.6081761,2.48455768326105,30.9512652832674
"98",98,135.8923,1,"B6",NA,-0.493235294,30.6352451,-5.283929412,-0.3184828,0.0782957,-0.9436502,4.4950323,17.2577825,3.80084496340751,-23.3031782004422,0.4902606,-0.0052327,-0.871379,-0.2998629,26.6446407,3.07220392238837,53.1374515319372
"99",99,135.9146,1,"B6",NA,-0.652535294,30.8325451,-5.467729412,-0.3176895,0.0767769,-0.9440423,4.4076635,17.2073359,3.44206044657167,-25.7677699260866,0.4911442,-0.0078072,-0.870862,-0.4473929,26.7032963,4.84916995607295,-10.0458064059221
