"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"51",51.40345,"1",NA,1,-0.2426937,-0.043414,0.9688593,-2.4888794,13.2643858,25.3920455,-589.2736291,-0.398674,0.0104483,0.916708,0.5988316,-24.2247427,44.7251999,-873.8303369,"B6","-0.5207908","-0.1360354","-0.8427644"
"52",51.41481,"1",NA,1,-0.2439664,-0.0442366,0.9685023,-2.5360638,13.3401835,11.2096033,-399.4821674,-0.4017216,0.0106533,0.9153742,0.6105853,-24.4154164,22.5134324,-647.3921139,"B6","-0.5178612","-0.1444258","-0.8431768"
"53",51.43618,"1",NA,1,-0.2472746,-0.0460658,0.9675778,-2.6410083,13.5371912,20.8152064,-110.2840843,-0.4082691,0.0112279,0.9124659,0.6435157,-24.8260523,36.6278258,-393.0874503,"B6","-0.5220199","-0.1336008","-0.8423943"
"54",51.44757,"1",NA,1,-0.2492489,-0.0470549,0.9670235,-2.6977559,13.654809,13.1832429,-272.3163756,-0.4114709,0.0116541,0.9110211,0.6679442,-25.0273887,20.1504607,-640.4179246,"B6","-0.5193139","-0.1351778","-0.8438179"
"55",51.4692,"1",NA,1,-0.2518224,-0.049098,0.9662549,-2.814982,13.80881,15.8961965,-309.3423724,-0.4158516,0.0129131,0.9090128,0.7401076,-25.3036032,23.7370618,-431.7280548,"B6","-0.4882205","-0.1549639","-0.8588487"
"56",51.48056,"1",NA,1,-0.2523272,-0.05023,0.9660645,-2.8799392,13.8396008,7.4431041,-561.0711268,-0.4173481,0.0137239,0.9083148,0.786583,-25.3982512,12.0445301,-765.5330545,"B6","-0.4885219","-0.1587749","-0.8579744"
"57",51.49187,"1",NA,1,-0.2525775,-0.050881,0.9659653,-2.9172935,13.8549327,3.1675621,-202.8942559,-0.418243,0.0141731,0.9078962,0.812327,-25.4548775,6.3692405,-224.3481547,"B6","-0.4928582","-0.1644742","-0.8544217"
"58",51.5141,"1",NA,1,-0.2527693,-0.0508542,0.9659165,-2.915757,13.8662937,2.550535,45.2665197,-0.419892,0.0136997,0.907142,0.7851926,-25.5588104,7.5496011,9.3138715,"B6","-0.4989177","-0.1680995","-0.850176"
"59",51.53604,"1",NA,1,-0.2541445,-0.0515898,0.9655165,-2.9579705,13.9484529,5.1458076,2.0855831,-0.4218111,0.0141211,0.9062448,0.8093493,-25.680241,6.7933315,-106.681615,"B6","-0.4983104","-0.1678875","-0.8505755"
"60",51.55805,"1","B6",NA,-0.2545272,-0.0523333,0.9653758,-3.0006385,13.9717459,2.6340621,-98.2227828,-0.4224721,0.0147526,0.9059268,0.8455425,-25.7222808,2.8558893,-116.4314138,"B6","-0.500484","-0.15878","-0.8510482"
