"","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"2673",275.3972,4,NA,3,0.7019157,113.7810883,3.7198039238691,-4.10228922297582
"2674",275.4192,4,NA,3,0.7988925,113.7313875,3.3633914292156,66.2937273886635
"2675",275.4414,4,NA,3,0.8785999,113.7035466,6.66648553351336,197.01105981441
"2676",275.4635,4,NA,3,0.9510298,113.5546234,12.0861590752895,170.504029776977
"2677",275.4854,4,NA,3,1.0205803,113.2963386,14.1836088571347,175.592205410083
"2678",275.5072,4,NA,3,1.0612067,113.0473369,19.751556627431,465.306002374786
"2679",275.5186,4,NA,3,1.0668737,112.8221928,27.4488543723234,666.837161294023
"2680",275.5305,4,NA,3,1.0770685,112.5264882,35.2846802879471,492.745750845347
"2681",275.5524,4,NA,3,1.0088621,111.8187098,42.4463905991794,300.024359662186
"2682",275.5747,4,NA,3,0.8926487,110.9920564,48.5349592346061,383.313455721012
"2683",275.5976,4,NA,3,0.7966714,110.0263901,59.8383288810157,412.673021204075
"2684",275.6194,4,NA,3,0.7916495,108.8348153,67.0704595796653,265.016378388233
"2685",275.6414,4,NA,3,0.7885276,107.5983805,71.4326997071678,315.465721508082
"2686",275.6638,4,NA,3,0.8393732,106.2256985,81.1240104463639,323.285294026816
"2687",275.6859,4,NA,3,0.9726779,104.6485289,85.8517040434171,49.8672399663245
"2688",275.7077,4,NA,3,1.078587,103.1057442,83.3623989450614,-116.667320591226
"2689",275.7298,4,NA,3,1.2154771,101.6088547,80.7292649654631,34.8672266960515
"2690",275.7523,4,NA,3,1.4565252,100.1221803,84.9790826799444,157.562833272226
"2691",275.774,4,NA,3,1.6969589,98.5414058,87.7185965593235,323.39587145614
"2692",275.7969,4,NA,3,2.0287192,96.8937512,99.6391197375523,362.913908835867
"2693",275.8188,4,NA,3,1.893462,94.9443538,104.134772630012,311.862386941674
"2694",275.8302,4,NA,3,1.9363465,93.9847545,108.905032176749,273.788587813639
"2695",275.8524,4,NA,3,2.0560641,91.8883067,111.771792674119,-158.740858394014
"2696",275.8638,4,NA,3,2.0857284,90.848797,106.680380847312,-283.793204166403
"2697",275.875,4,NA,3,2.1300147,89.8815088,105.325501886273,329.332835666399
