"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"78",30.52256,"1","B5",NA,0.0798057,-0.0137677,-0.993968,-0.7910207,0.357697,0.6330465,47.4231909,-0.0136598,-0.0138108,-0.993819,-0.7960929,-0.9095919,0.6518637,20.2852661
"79",30.54463,"1","B5",NA,0.0795586,-0.0141794,-0.9939821,-0.8146785,0.3719193,2.5891528,80.469033,-0.0138141,-0.0142511,-0.9938107,-0.8214753,-0.9006922,2.0846162,39.4703978
"80",30.56712,"1","B5",NA,0.0783891,-0.0142023,-0.9940747,-0.8159916,0.4393275,4.2153182,-4.0370792,-0.0145807,-0.0144266,-0.9937972,-0.8315924,-0.8564893,2.3999764,-26.5203908
"81",30.58922,"1","B5",NA,0.0774832,-0.0140849,-0.9941474,-0.8092483,0.491544,2.4389133,NA,-0.0148828,-0.0144222,-0.9937928,-0.8313398,-0.8390747,0.9178836,-30.4600902
"82",30.61121,"1","B5",NA,0.0774767,-0.0139653,-0.9941495,-0.8023734,0.491927,NA,NA,-0.0149222,-0.0143061,-0.9937939,-0.8246464,-0.8368031,1.0529647,51.1704535
"83",30.63405,"1",NA,1,0.0777593,-0.013944,-0.9941278,-0.8011501,0.4756409,1.5700792,NA,-0.0142192,-0.0142373,-0.9938052,-0.8206836,-0.8773335,3.2501285,98.526349
"84",30.65572,"1",NA,1,0.0766445,-0.0138643,-0.9942155,-0.7965726,0.5398907,5.6550956,178.892028,-0.0131521,-0.0142651,-0.9938195,-0.8222856,-0.938857,5.4356484,158.5479828
"85",30.67786,"1",NA,1,0.0746168,-0.0133486,-0.9943768,-0.7669433,0.6567677,9.4028184,146.7295119,-0.0111495,-0.0139465,-0.9938485,-0.8039187,-1.0543138,10.2232315,248.3410575
"86",30.70035,"1",NA,1,0.0715751,-0.0126464,-0.9946095,-0.7265952,0.8320466,12.1957432,152.2031038,-0.0072799,-0.0135286,-0.9938901,-0.7798257,-1.2773937,16.5303447,337.2908327
"87",30.72244,"1",NA,1,0.0683905,-0.0124294,-0.9948363,-0.7141284,1.0154926,16.1768256,-143.4884113,-0.0023033,-0.0136098,-0.993913,-0.7845109,-1.5642786,25.2369168,-178.1781756
"88",30.73372,"1",NA,1,0.0668919,-0.0122134,-0.9949409,-0.7017149,1.1018045,10.9068339,-120.408237,5.36e-05,-0.0135423,-0.9939166,-0.7806156,1.7001471,16.771308,-219.0938136
"89",30.75559,"1",NA,1,0.0631324,-0.0114859,-0.9951952,-0.6599159,1.3183127,15.8577945,192.0390641,0.0058407,-0.0132102,-0.9939039,-0.7614733,2.0337516,23.6015191,249.5855705
"90",30.77788,"1",NA,1,0.0588673,-0.0098168,-0.9954745,-0.5640131,1.5638919,19.3728552,195.1867994,0.0123064,-0.0120269,-0.9938599,-0.6932581,2.4064793,27.7666627,240.6699113
