"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"45",48.10965,1.882224,1.841125,-2.106575,0.6205484,-0.78218,0.01891893,0.0524996,283.407,194.6515,171.1778,"Calibration","B5",NA,0.760680342,0.287974074,-0.161973789,-0.093963,0.0131582,-0.9937087,0.7552683,0.1175489,1.1611265,-31.1679618,0.1060624,0.0132212,-0.9935883,0.7580565,0.1301746,1.1295861,-32.0977377
"46",48.13191,1.882204,1.841108,-2.106653,0.6205241,-0.7822071,0.01870964,0.05245851,283.4139,194.6948,171.1141,"Calibration","B5",NA,0.753780342,0.331274074,-0.225673789,-0.093586,0.0130847,-0.9937453,0.7510512,0.0958053,1.4685181,0.2401786,0.1057425,0.0131407,-0.9936235,0.7534404,0.1117177,1.3609508,0.1304585
"47",48.15421,1.882269,1.841187,-2.106632,0.6203948,-0.7823186,0.01871273,0.05232372,283.4308,194.6256,171.1726,"Calibration","B5",NA,0.736880342,0.262074074,-0.167173789,-0.0934368,0.0127299,-0.9937639,0.730683,0.0871833,1.1712861,-0.8498613,0.1055272,0.0128139,-0.9936506,0.7347013,0.0992782,1.1349888,-11.5880279
"48",48.17628,1.882277,1.841181,-2.106568,0.6203898,-0.7823275,0.01850382,0.05232597,283.4354,194.6878,171.0935,"Calibration","B5",NA,0.732280342,0.324274074,-0.246273789,-0.0931117,0.0127139,-0.9937948,0.7297658,0.0684332,1.4279396,NA,0.1052759,0.0127825,-0.9936777,0.7329015,0.0847838,0.8471247,NA
"49",48.19872,1.88226,1.841172,-2.106409,0.6203583,-0.7823449,0.01823481,0.05253021,283.4473,194.8421,170.9341,"Calibration","B5",NA,0.720380342,0.478574074,-0.405673789,-0.0929396,0.0126682,-0.9938112,0.72714,0.0585093,NA,NA,0.1052718,0.0126753,-0.9936795,0.7267546,0.0845395,NA,NA
"50",48.22116,1.88238,1.841213,-2.106237,0.6204023,-0.7823159,0.01853641,0.05233863,283.4332,194.6846,171.1004,"Calibration","B5",NA,0.734480342,0.321074074,-0.239373789,-0.0931773,0.0127487,-0.9937881,0.731763,0.0722206,1.3853179,NA,0.1053363,0.0128162,-0.9936708,0.7348358,0.0882704,0.73309,NA
"51",48.24298,1.882497,1.841202,-2.106031,0.6205494,-0.7821987,0.01856773,0.05233436,283.4115,194.6923,171.0948,"Calibration","B5",NA,0.756180342,0.328774074,-0.244973789,-0.0932101,0.0131227,-0.9937801,0.7532297,0.0741382,1.4044386,0.3716201,0.1053744,0.0131938,-0.9936619,0.7564849,0.0904977,1.6355967,14.9279599
"52",48.26503,1.882507,1.841178,-2.105816,0.6206826,-0.7820836,0.01860341,0.0524622,283.3932,194.7479,171.0525,"Calibration","B5",NA,0.774480342,0.384374074,-0.287273789,-0.0934113,0.0134868,-0.9937563,0.7741331,0.0857668,1.4015048,-7.8440752,0.1056261,0.0135351,-0.9936305,0.7760525,0.1050425,1.3818999,-6.4116581
"53",48.28641,1.882596,1.841069,-2.105669,0.6207513,-0.7820146,0.01852193,0.05270632,283.3877,194.8751,170.9385,"Calibration","B5",NA,0.779980342,0.511574074,-0.401273789,-0.0935745,0.0137073,-0.9937379,0.7867886,0.0951916,1.0689368,5.55565,0.1059145,0.0136998,-0.9935976,0.7854982,0.1216859,1.3537255,5.3341221
"54",48.30826,1.882587,1.841089,-2.105422,0.6208572,-0.7819297,0.0186561,0.05267087,283.3696,194.8351,170.9865,"Calibration","B5",NA,0.798080342,0.471574074,-0.353273789,-0.0937342,0.0139724,-0.9937192,0.8020042,0.1044205,1.6515976,28.3333789,0.106027,0.0139822,-0.9935817,0.8016938,0.128193,1.6156204,18.234981
"55",48.3305,1.882633,1.841032,-2.105093,0.6210597,-0.7817604,0.01879149,0.05274914,283.339,194.8511,170.9878,"Calibration","B5",NA,0.828680342,0.487574074,-0.351973789,-0.0940266,0.0145054,-0.993684,0.8326015,0.1213181,2.3188056,20.1333588,0.1063243,0.0145089,-0.9935423,0.8318926,0.1453873,2.1601429,34.1029448
"56",48.35285,1.88277,1.841141,-2.104815,0.6211693,-0.7816559,0.0189272,0.05295812,283.3231,194.9056,170.9613,"Calibration","B5",NA,0.844580342,0.542074074,-0.378473789,-0.0944852,0.0148274,-0.9936357,0.8510851,0.1477898,2.5482587,-66.1725592,0.1068227,0.0147992,-0.9934846,0.8485374,0.1741544,3.1373288,-38.1748132
"57",48.36423,1.882771,1.841086,-2.104691,0.6211904,-0.781622,0.0188316,0.05324326,283.3252,195.0474,170.835,"Calibration","B5",NA,0.842480342,0.683874074,-0.504773789,-0.0946793,0.0149349,-0.9936155,0.8572584,0.1589892,0.9253401,-57.4618858,0.1071578,0.0148409,-0.9934479,0.8509302,0.1934856,1.7709141,-75.9074916
