"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"39",36.55508,1.910144,1.930275,-2.089586,-0.5592225,0.8180785,0.04848558,-0.1251675,295.4663,217.0423,149.3311,"Calibration","B5",NA,-0.0557545,0.0202875,-0.970357,1.1957511,1.540316,1.1687162,-34.2694225,0.1536439,0.011907,-0.9663272,0.6972027,2.2107747,6.1837096,-8.9639747
"40",36.57743,1.910142,1.93043,-2.089315,-0.5597085,0.8180041,0.04756742,-0.1238272,295.3235,216.7349,149.6016,"Calibration","B5",NA,-0.0556997,0.0210559,-0.9703439,1.2410465,1.5371357,4.4971675,138.6191749,0.1525417,0.0131359,-0.9664859,0.7691605,2.1455706,6.5982495,12.7000921
"41",36.59934,1.90994,1.930735,-2.088905,-0.5604076,0.8175209,0.04797588,-0.1236983,295.2546,216.8764,149.4145,"Calibration","B5",NA,-0.0546921,0.022597,-0.9703665,1.3318948,1.477757,7.308535,23.5992278,0.1520805,0.0148138,-0.9665343,0.8674183,2.118451,6.7483886,-19.1563157
"42",36.62182,1.909732,1.931036,-2.088504,-0.5610328,0.817078,0.04857532,-0.1235565,295.2021,217.0261,149.2025,"Calibration","B5",NA,-0.053384,0.02394,-0.9704071,1.411068,1.4006306,5.4850496,-91.2490629,0.1513817,0.0163303,-0.9666196,0.9562232,2.0772491,5.7330756,-76.7849786
"43",36.644,1.909839,1.931283,-2.088295,-0.5614248,0.8169677,0.04780491,-0.1228037,295.097,216.8427,149.3861,"Calibration","B5",NA,-0.0537328,0.0246827,-0.9703693,1.454858,1.4212858,3.2363918,3.3359828,0.1510546,0.0172879,-0.9666541,1.0123003,2.0580122,3.3286574,-40.8751885
"44",36.66599,1.910219,1.931262,-2.088446,-0.5614627,0.817257,0.04615679,-0.121327,294.9714,216.3359,149.9056,"Calibration","B5",NA,-0.0548613,0.0244478,-0.9703121,1.4410092,1.4879004,5.6125035,-87.8681707,0.1503692,0.0174398,-0.9667582,1.0211942,2.0174183,3.9147879,2.2260746
"45",36.67722,1.910377,1.93124,-2.088528,-0.5614185,0.8174238,0.04552175,-0.1206462,294.9265,216.1054,150.1318,"Calibration","B5",NA,-0.0551973,0.0241821,-0.9702997,1.4253443,1.5077189,2.4255358,-120.4417998,0.1499091,0.0173709,-0.966831,1.0171599,1.9901357,3.6654565,34.6240122
"46",36.69924,1.910649,1.931332,-2.088758,-0.5612583,0.8177322,0.04492436,-0.1195196,294.8816,215.7632,150.4295,"Calibration","B5",NA,-0.0550436,0.0234904,-0.9703254,1.3845637,1.498585,3.3703465,78.5187098,0.1486525,0.017076,-0.9670302,0.9998892,1.9156296,5.6791918,110.6547659
"47",36.72151,1.910896,1.931361,-2.089056,-0.561086,0.8179902,0.04495545,-0.1185473,294.8696,215.5287,150.5805,"Calibration","B5",NA,-0.0540347,0.0227565,-0.9703995,1.3413026,1.4389544,5.9120324,-7.3156342,0.1469892,0.0167669,-0.9672898,0.9817922,1.8170471,8.5711572,-46.8316635
"48",36.73286,1.911234,1.931296,-2.089337,-0.5609426,0.818181,0.04472341,-0.1179964,294.8582,215.3572,150.7253,"Calibration","B5",NA,-0.0538797,0.0222622,-0.9704197,1.3121575,1.4297645,4.4505865,-0.1055418,0.1462955,0.0164715,-0.9674001,0.9644929,1.7759151,6.034176,-33.5340307
