"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","eyepitch","eyeyaw"
"37",42.13906,1.856589,1.812358,-1.220407,0.05226078,0.04982607,0.9797167,-0.1869262,21.80676,174.8231,4.82496,"Calibration","B5",NA,0.489718934,0.555380607,0.07614152,"B5","1.862293","1.713948","-1.225188","-0.03346612","-0.06642254","-0.9972237",0.1178547,0.0088409,0.9887271,0.5087069,0.1346971,2.0848657,-2.6918672,0.1216985,-0.0084787,0.9895708,-0.4872308,0.5264278,2.7082081,-105.2886963,3.8085599,174.384566
"38",42.16198,1.856546,1.812467,-1.220506,0.05261514,0.04932834,0.9797418,-0.1868273,21.79433,174.7683,4.756742,"Calibration","B5",NA,0.502148934,0.500580607,0.00792352,"B5","1.863383","1.713979","-1.225221","-0.03484438","-0.06570395","-0.9972166",0.1170368,0.0090262,0.9888226,0.5193693,0.182076,2.8980165,-26.7561996,0.1221977,-0.0087299,0.9895071,-0.5016675,0.4975053,2.1011998,-30.0317794,3.7673256,174.4636758
"39",42.18387,1.856547,1.812457,-1.220566,0.05293927,0.04898489,0.9797469,-0.186799,21.79075,174.7209,4.707673,"Calibration","B5",NA,0.505728934,0.453180607,-0.04114548,"B5","1.863095","1.713988","-1.225234","-0.0339622","-0.06464166","-0.997325",0.1165004,0.0090616,0.9888854,0.5214047,0.2131528,0.9500214,-47.029652,0.1226947,-0.0088171,0.9894448,-0.5066761,0.4687218,1.3661385,-36.1432026,3.7062987,174.4128379
"40",42.20606,1.856638,1.812389,-1.220621,0.05297922,0.04890847,0.9797565,-0.1867574,21.78568,174.7141,4.697643,"Calibration","B5",NA,0.510798934,0.446380607,-0.05117548,"B5","1.863173","1.714005","-1.225273","-0.03412306","-0.06399626","-0.9973524",0.1163715,0.0091457,0.9888999,0.5262482,0.2206201,0.8375376,3.9019464,0.1227463,-0.0089103,0.9894376,-0.5120342,0.465726,0.5072384,-4.204985,3.669275,174.4220147
"41",42.22809,1.856609,1.812389,-1.220712,0.0529135,0.04888546,0.9797469,-0.1868324,21.79399,174.7218,4.696094,"Calibration","B5",NA,0.502488934,0.454080607,-0.05272448,"B5","1.866659","1.714075","-1.225211","-0.0348465","-0.06604031","-0.9972061",0.1162946,0.0090059,0.9889102,0.518203,0.2250789,1.1211301,27.4679922,0.1226033,-0.0087666,0.9894566,-0.5037731,0.4740161,1.1746738,39.1455761,3.7865952,174.4638185
"42",42.25068,1.856618,1.812499,-1.220804,0.05272929,0.048641,0.9797399,-0.1869849,21.80956,174.7389,4.670169,"Calibration","B5",NA,0.486918934,0.471180607,-0.07864948,"B5","1.868022","1.714088","-1.225249","-0.03674081","-0.0656735","-0.9971526",0.1157353,0.0087451,0.9889781,0.5031923,0.2575001,2.0713326,40.9767201,0.1221383,-0.0085088,0.9895163,-0.4889584,0.5009571,2.2588694,64.9924464,3.7655693,174.5726316
"43",42.27345,1.856561,1.81235,-1.22105,0.05239988,0.04853519,0.9797307,-0.1871536,21.82708,174.7769,4.664382,"Calibration","B5",NA,0.469398934,0.509180607,-0.08443648,"B5","1.865811","1.714021","-1.225474","-0.03566649","-0.0662768","-0.9971628",0.1153867,0.008462,0.9890216,0.4869054,0.2777166,2.9796386,NA,0.1214443,-0.0082069,0.9896043,-0.4716132,0.5411575,4.1257908,-14.522461,3.8001696,174.5109621
"44",42.28495,1.856618,1.812331,-1.221129,0.05216232,0.04855407,0.9797289,-0.1872243,21.83429,174.8063,4.671947,"Calibration","B5",NA,0.462188934,0.538580607,-0.07687148,"B5","1.864652","1.713981","-1.225562","-0.03510762","-0.06631745","-0.9971696",0.1153242,0.0083533,0.9890297,0.4806495,0.2813387,NA,NA,0.1209862,-0.0080777,0.9896615,-0.4641892,0.5676889,2.8488846,-123.686718,3.8025431,174.4788768
"45",42.29667,1.856678,1.812289,-1.221124,0.05207855,0.04854087,0.9797387,-0.1871995,21.83094,174.8161,4.672397,"Calibration","B5",NA,0.465538934,0.548380607,-0.07642148,"B5","1.862991","1.713921","-1.225649","-0.03549876","-0.06618345","-0.9971743",0.1152679,0.0084171,0.9890356,0.4843204,0.284599,0.3251924,NA,0.1208198,-0.0081358,0.9896813,-0.4675246,0.5773173,1.2510019,-46.0797214,3.7948119,174.5013133
"46",42.31993,1.856784,1.812289,-1.221225,0.05188089,0.04868203,0.9796884,-0.1874809,21.86353,174.8442,4.69307,"Calibration","B5",NA,0.432948934,0.576480607,-0.05574848,"B5","1.862335","1.713899","-1.225751","-0.03522623","-0.06893826","-0.9969844",0.1154408,0.0078666,0.98902,0.4526442,0.2746134,2.2558334,42.5283938,0.1204703,-0.0075586,0.9897285,-0.4343542,0.5975812,2.2785978,13.8214734,3.9530636,174.486059
