"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"57",39.60205,1.912055,1.854069,-2.070866,0.4916963,-0.8622303,0.1092603,-0.05344038,303.2556,158.6547,206.067,"Calibration","B5",NA,-0.084679104,0.487454229,-0.466227363,-0.135184,-0.0028202,-0.9696904,-0.1650412,-0.0581741,2.600321,66.8837948,0.0160148,-0.0029772,-0.9695337,-0.1759152,0.0970778,3.9376794,47.5076779
"58",39.62342,1.912062,1.854034,-2.070662,0.4919935,-0.8620683,0.1093953,-0.05304113,303.211,158.6852,206.0813,"Calibration","B5",NA,-0.040079104,0.517954229,-0.451927363,-0.1358571,-0.0021856,-0.969598,-0.1279025,-0.0184158,4.5521362,-29.0933631,0.0167329,-0.0022285,-0.9695235,-0.1316766,0.1395131,5.1134062,-48.5590398
"59",39.63515,1.912026,1.854119,-2.070622,0.4920461,-0.8620456,0.1094635,-0.05278041,303.1986,158.7197,206.0744,"Calibration","B5",NA,-0.027679104,0.552454229,-0.458827363,-0.1362309,-0.0020851,-0.9695458,-0.1220215,0.0036721,2.7982539,-33.8041604,0.0172187,-0.0020586,-0.9695154,-0.1216379,0.1682216,3.3288543,-46.5315723
"60",39.65673,1.912166,1.854131,-2.070483,0.4921573,-0.8619637,0.1097809,-0.0524195,303.1822,158.7429,206.1083,"Calibration","B5",NA,-0.011279104,0.575654229,-0.424927363,-0.1371352,-0.0018858,-0.9694186,-0.1103576,0.0571097,4.5659313,-29.5631271,0.0180917,-0.0016826,-0.9695002,-0.0994204,0.2198121,4.6036403,-85.1387474
"61",39.66801,1.91222,1.854181,-2.070429,0.4922044,-0.8619161,0.1099777,-0.05235003,303.1792,158.7322,206.1415,"Calibration","B5",NA,-0.008279104,0.564954229,-0.391727363,-0.1375452,-0.0018056,-0.9693608,-0.1056669,0.0813404,2.9750112,-39.3537487,0.0183812,-0.0015187,-0.9694951,-0.0897392,0.2369247,2.0165716,-106.6691471
"62",39.69007,1.912435,1.854185,-2.07022,0.4922826,-0.8617888,0.1105614,-0.05247895,303.1876,158.6473,206.2651,"Calibration","B5",NA,-0.016679104,0.480054229,-0.268127363,-0.1384311,-0.0016948,-0.9692348,-0.099183,0.133709,4.3500445,-39.7793604,0.0186966,-0.0012138,-0.9694895,-0.0717198,0.255561,2.3697912,-10.5432955
"63",39.70177,1.912513,1.854194,-2.070116,0.4923806,-0.8616944,0.1108233,-0.05255889,303.1844,158.5995,206.3282,"Calibration","B5",NA,-0.013479104,0.432254229,-0.205027363,-0.1388219,-0.0015036,-0.9691793,-0.0879931,0.1568102,2.6899287,-58.503178,0.0187819,-0.0009402,-0.9694881,-0.0555547,0.2606033,1.9357404,9.5994166
"64",39.72353,1.91268,1.85418,-2.069834,0.492649,-0.8615174,0.1110169,-0.05253507,303.1558,158.5609,206.3848,"Calibration","B5",NA,0.015120896,0.393654229,-0.148427363,-0.1392332,-0.0009265,-0.969121,-0.0542205,0.1811206,3.231402,-71.0290664,0.0189306,-0.0002923,-0.9694856,-0.0172706,0.2693916,3.1607673,-46.0003871
"65",39.73479,1.912649,1.854189,-2.069802,0.492762,-0.8614565,0.1109713,-0.05257115,303.142,158.5486,206.3901,"Calibration","B5",NA,0.028920896,0.381354229,-0.143127363,-0.1391473,-0.000667,-0.9691336,-0.0390327,0.1760357,1.3516349,NA,0.0187976,-5.78e-05,-0.9694883,-0.0034147,0.2615285,1.4909322,-85.7503998
"66",39.75699,1.912718,1.854237,-2.069675,0.4928094,-0.8614129,0.1110347,-0.0527059,303.1418,158.5146,206.418,"Calibration","B5",NA,0.029120896,0.347354229,-0.115227363,-0.1391384,-0.000564,-0.9691348,-0.0330037,0.1755138,NA,NA,0.0186176,4.44e-05,-0.9694918,0.0026253,0.2508898,0.9758293,-7.7203265
"67",39.77896,1.912772,1.854244,-2.069578,0.4928009,-0.8614315,0.1108859,-0.05279573,303.1418,158.5137,206.3987,"Calibration","B5",NA,0.029120896,0.346454229,-0.134527363,-0.1387993,-0.0005624,-0.9691835,-0.0329123,0.155465,1.8198474,NA,0.0183289,-2.41e-05,-0.9694973,-0.0014258,0.2338297,1.1463644,NA
