"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"67",32.40251,1.896572,2.065402,-2.027377,0.6386186,-0.7670467,0.03002216,0.05389163,280.5996,193.9451,172.8875,"Calibration","B5",NA,-0.1161766,-0.0306037,-0.9919905,-1.7550702,-0.1729807,1.208466,-9.5004938,0.1202742,-0.0302789,-0.9919767,-1.7356387,0.2307294,1.4549479,-8.5417396
"68",32.42471,1.896565,2.065469,-2.027255,0.6385787,-0.7670611,0.03009906,0.05411813,280.6062,194.0176,172.8398,"Calibration","B5",NA,-0.1165916,-0.0306591,-0.9919402,-1.7582522,-0.1490035,2.7196136,-8.572873,0.1207123,-0.0303743,-0.9919206,-1.7411107,0.2054039,2.662833,-8.6206007
"69",32.43607,1.896592,2.065478,-2.02722,0.6385418,-0.7670782,0.03016792,0.0542712,280.6118,194.0586,172.8169,"Calibration","B5",NA,-0.1168976,-0.0307222,-0.9919021,-1.7618684,-0.1313138,1.751566,-3.3026107,0.1210296,-0.0304622,-0.9918792,-1.7461475,0.1870609,1.848884,-9.4921056
"70",32.45808,1.896737,2.065434,-2.027251,0.6383494,-0.7672313,0.030481,0.05419479,280.6337,193.8731,173.0219,"Calibration","B5",NA,-0.1172719,-0.0312345,-0.9918419,-1.7912598,-0.1095859,3.4817773,59.8125282,0.1213231,-0.0309216,-0.9918291,-1.7724899,0.170004,3.0080677,45.7259818
"71",32.48061,1.896758,2.065495,-2.027267,0.6378393,-0.7676519,0.03105172,0.05392041,280.696,193.4508,173.4686,"Calibration","B5",NA,-0.1177832,-0.0326095,-0.9917371,-1.870143,-0.0797439,4.4058412,-35.9625922,0.1216481,-0.0321683,-0.9917497,-1.8439808,0.1509565,3.8819103,-48.2931483
"72",32.50237,1.896634,2.065389,-2.027177,0.6377003,-0.7677628,0.03124154,0.05387735,280.7127,193.3385,173.593,"Calibration","B5",NA,-0.1180151,-0.0329771,-0.9916975,-1.8912324,-0.0662697,1.9482667,-19.3392389,0.1218305,-0.0325026,-0.9917164,-1.863151,0.1403383,0.9362149,-0.8252165
"73",32.51357,1.896649,2.065345,-2.027069,0.6377653,-0.7677085,0.03105052,0.05399014,280.7075,193.4742,173.451,"Calibration","B5",NA,-0.1178773,-0.0327867,-0.99172,-1.8803096,-0.0742726,2.7799958,183.0811487,0.1217505,-0.0323612,-0.9917308,-1.8550396,0.1449971,2.4338968,206.5621648
"74",32.5355,1.896748,2.065237,-2.026648,0.638339,-0.7672184,0.03062955,0.05441523,280.6345,193.9192,173.0058,"Calibration","B5",NA,-0.1177836,-0.0312138,-0.9917819,-1.7900751,-0.0800259,9.1813797,-17.1700072,0.1218456,-0.0309292,-0.9917649,-1.7729268,0.1398218,8.5611987,-2.5044594
"75",32.54671,1.896757,2.065326,-2.026467,0.6387892,-0.7668394,0.03046327,0.05456834,280.5729,194.1228,172.8008,"Calibration","B5",NA,-0.1177147,-0.0300152,-0.9918271,-1.7213139,-0.0842594,5.5242205,-234.5775882,0.1218704,-0.0297826,-0.9917969,-1.7071803,0.1386299,5.3729441,-223.3445014
"76",32.56873,1.896786,2.065334,-2.026152,0.6390547,-0.7666155,0.03081043,0.05441089,280.5262,193.9514,172.9875,"Calibration","B5",NA,-0.1180089,-0.0293565,-0.9918119,-1.6835247,-0.0673957,2.3772456,-46.2033966,0.1221035,-0.0290471,-0.99179,-1.6650116,0.1253189,1.7995968,-39.4248421
