TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
12.69393,1,0,-1.64,0,0,1,0,0,180,0,1.77926,0.8278136,-2.56866,-0.1875325,-0.1551447,0.9445141,0.2205784,338.9926,206.923,336.2617,1.271451,0.8679317,-2.462639,-0.04086518,0.007047216,0.9987245,0.02880602,356.6684,184.6666,0.672781,2.016174,0.8135962,-2.189615,0.1893428,-0.2324004,0.6778833,0.6712776,273.5303,243.9188,261.363,1.856993,0.8178699,-2.245564,0.1405983,-0.1501891,0.672605,0.7108291,273.1936,334.0445,182.2148
12.71593,1,0,-1.64,0,0,1,0,0,180,0,1.779377,0.8278939,-2.568701,-0.1874954,-0.1550706,0.9445466,0.2205231,338.9957,206.915,336.2734,1.271587,0.8679494,-2.462603,-0.04091534,0.007140512,0.9987221,0.02879592,356.6691,184.6721,0.6833562,2.016135,0.8135501,-2.18965,0.1893434,-0.2324237,0.677902,0.6712504,273.5327,243.8627,261.4171,1.857982,0.8174208,-2.244286,0.1423443,-0.1505296,0.6728767,0.7101521,273.0926,335.6585,180.4285
12.72746,1,0,-1.64,0,0,1,0,0,180,0,1.779162,0.8278257,-2.568658,-0.1875272,-0.1551292,0.944536,0.2205001,339.0006,206.9192,336.2666,1.271542,0.8679304,-2.462611,-0.04087295,0.00715806,0.9987215,0.02887302,356.6602,184.6671,0.6851521,2.015836,0.8132989,-2.189727,0.1892746,-0.2323394,0.67791,0.6712911,273.5309,243.9085,261.3843,1.8577,0.8180209,-2.245276,0.1416826,-0.1503691,0.6727633,0.7104258,273.1321,335.09,181.065
12.74906,1,0,-1.64,0,0,1,0,0,180,0,1.779117,0.8278185,-2.568657,-0.1875086,-0.1551199,0.9445435,0.2204902,339.0009,206.9164,336.2685,1.271513,0.8679202,-2.462564,-0.04088803,0.007058576,0.9987257,0.02872927,356.6771,184.6692,0.674363,2.015672,0.8132927,-2.189649,0.1893148,-0.2324441,0.6778139,0.6713405,273.5344,244.1042,261.1763,1.86033,0.8183388,-2.243291,0.1431358,-0.1505012,0.6724671,0.7103869,273.1304,337.0197,179.0039
12.76048,1,0,-1.64,0,0,1,0,0,180,0,1.7791,0.8278179,-2.568647,-0.1875165,-0.1551083,0.9445322,0.2205404,338.9953,206.9189,336.2678,1.271524,0.8679088,-2.462568,-0.0408575,0.007016545,0.9987253,0.02879657,356.6696,184.6658,0.6693341,2.015607,0.8130847,-2.189791,0.1894069,-0.2324231,0.6778474,0.6712879,273.5264,243.9671,261.3074,1.858208,0.8183743,-2.244872,0.1431893,-0.1505896,0.6728947,0.7099524,273.0624,336.7129,179.2994
12.78239,1,0,-1.64,0,0,1,0,0,180,0,1.778724,0.8276042,-2.568651,-0.1874962,-0.1551299,0.9445508,0.2204627,339.0039,206.9141,336.2686,1.271528,0.8679286,-2.462615,-0.04086342,0.007023967,0.9987254,0.02878273,356.6712,184.6665,0.6702294,2.015613,0.8130842,-2.189816,0.1893481,-0.2324334,0.6778479,0.6713005,273.5317,243.9985,261.2801,1.858095,0.8178968,-2.244737,0.1451745,-0.1505553,0.6730478,0.7094111,272.9788,339.5084,176.3426
12.79894,1,0,-1.64,0,0,1,0,0,180,0,1.778704,0.8276079,-2.568631,-0.187535,-0.1550925,0.9445331,0.2205317,338.9963,206.9205,336.2696,1.271401,0.867902,-2.462588,-0.04088021,0.007060932,0.9987265,0.0287125,356.679,184.6683,0.6747369,2.015661,0.8131038,-2.18969,0.1892902,-0.2323554,0.6779069,0.6712841,273.531,243.9023,261.3878,1.856955,0.8176547,-2.245547,0.144958,-0.150325,0.6730412,0.7095104,272.9872,339.5722,176.3158
12.8121,1,0,-1.64,0,0,1,0,0,180,0,1.778754,0.827656,-2.568647,-0.1874724,-0.1550794,0.9445488,0.2205269,338.9949,206.9125,336.2727,1.271425,0.8678704,-2.462564,-0.04085634,0.006940066,0.9987303,0.02864276,356.6876,184.666,0.6612833,2.01567,0.8130832,-2.189673,0.1892766,-0.2322987,0.67787,0.671345,273.5263,244.024,261.2722,1.855993,0.8172258,-2.245857,0.1446915,-0.1501314,0.6729384,0.7097034,273.0117,339.5464,176.3796
12.8343,1,0,-1.64,0,0,1,0,0,180,0,1.778764,0.8276388,-2.568659,-0.187491,-0.1551041,0.9445373,0.2205432,338.9943,206.9159,336.2687,1.271472,0.8679205,-2.46261,-0.04087786,0.006940443,0.9987285,0.02867685,356.6837,184.6685,0.6610969,2.015813,0.8132316,-2.189647,0.18876,-0.2318389,0.6780178,0.6715,273.5308,244.086,261.293,1.856253,0.8167511,-2.245155,0.1469823,-0.1500864,0.6729203,0.7092591,272.9553,342.9875,172.7526
12.84571,1,0,-1.64,0,0,1,0,0,180,0,1.77874,0.8276199,-2.568665,-0.1874659,-0.1550584,0.9445506,0.2205396,338.9928,206.9118,336.2748,1.271396,0.8679191,-2.462687,-0.04083602,0.006964831,0.998729,0.02871209,356.6796,184.6636,0.6638686,2.015823,0.8132412,-2.18963,0.1890402,-0.2321372,0.6779829,0.6713534,273.5337,243.9199,261.41,1.856503,0.8168102,-2.245041,0.1470026,-0.1500808,0.6729019,0.7092736,272.9579,343.0321,172.7069
