Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,130.4695428,-16.75916874,22.05932882,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7145493,1.912821,1.788626,-2.200271,0.3267638,-0.9368264,0.1041874,-0.06875128,323.2792,165.7796,197.4332,,143.2792,-14.2204,17.4332,,-12.80965721,2.538768736,-4.626128825,,-1.617489342,2.239955319,-1.489545491,3.138856061,,-1.503641292,1.822663534,-2.172451935,3.209764307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7324333,1.912803,1.788654,-2.200223,0.3268392,-0.936818,0.1041256,-0.06860048,323.2667,165.7999,197.4207,,143.2667,-14.2001,17.4207,,-12.79715721,2.559068736,-4.638628825,,-1.001370816,1.226280911,-1.493712173,2.176622255,,-1.111034841,1.722837071,-2.171683163,2.986431609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7543693,1.912433,1.788606,-2.200401,0.3270135,-0.9368082,0.1037571,-0.0684623,323.2381,165.8288,197.3705,,143.2381,-14.1712,17.3705,,-12.76855721,2.587968736,-4.688828825,,-0.484711859,0.669880138,-1.913286792,2.084310758,,-0.659140068,1.144110956,-1.727144533,2.174047779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7767996,1.912241,1.788585,-2.200471,0.3269317,-0.9368588,0.1034864,-0.06856941,323.2456,165.8293,197.336,,143.2456,-14.1707,17.336,,-12.77605721,2.588468736,-4.723328825,,0.00077368,-0.444173039,-1.224367686,1.302446359,,-0.297899906,0.48481346,-1.239965145,1.364295425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7984328,1.912263,1.788644,-2.20028,0.3269958,-0.9368465,0.1032592,-0.06877468,323.2384,165.8096,197.3163,,143.2384,-14.1904,17.3163,,-12.76885721,2.568768736,-4.743028825,,0.896200408,-1.687947779,-0.412814225,1.955187576,,-0.094491716,0.164987921,-1.062998349,1.079868135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8207834,1.912005,1.788537,-2.200658,0.3266634,-0.9369323,0.1031852,-0.06929423,323.2859,165.7545,197.3182,,143.2859,-14.2455,17.3182,,-12.81635721,2.513668736,-4.741128825,,1.546092717,-2.032490073,-0.084492973,2.555104235,,0.067741416,0.189267033,-1.195638125,1.212419661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8432248,1.912287,1.788705,-2.200384,0.3265166,-0.9369709,0.1030674,-0.06963874,323.3076,165.7186,197.3125,,143.3076,-14.2814,17.3125,,-12.83805721,2.477768736,-4.746828825,,1.134684458,-1.53668932,-0.295994752,1.9330121,,0.300137884,0.133510159,-1.200734083,1.244857442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8654145,1.912127,1.788617,-2.200708,0.3263084,-0.937031,0.1029545,-0.06997291,323.3365,165.6859,197.305,,143.3365,-14.3141,17.305,,-12.86695721,2.445068736,-4.754328825,,1.617357043,-1.637406292,0.141396041,2.305848219,,0.517025722,-0.208367565,-0.892592411,1.052356333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8768516,1.91181,1.788605,-2.201031,0.3261524,-0.9370682,0.1029852,-0.07015603,323.3586,165.6653,197.3121,,143.3586,-14.3347,17.3121,,-12.88905721,2.424468736,-4.747228825,,1.961485,-3.300682906,1.805651974,4.242912927,,0.619869359,-0.435679541,-0.623673931,0.981337789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8989548,1.9118,1.78872,-2.201002,0.3259342,-0.9370545,0.1032868,-0.0709051,323.4026,165.5592,197.3782,,143.4026,-14.4408,17.3782,,-12.93305721,2.318368736,-4.681128825,,0.549178048,-2.388838474,0.814762699,2.583018397,,0.629786245,-0.34157729,-0.655729789,0.971229796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
