Time,x,y,z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,127.1532442,-1.122246215,4.673249402,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7024393,1.897319,1.781261,-2.047376,0.4432026,-0.895611,0.03792243,-0.003758497,307.4778,176.1979,186.7256,,127.4778,-3.8021,6.7256,,-0.324555777,-2.679853785,2.052350598,,-2.002254264,-5.308974705,5.531721573,7.924277767,,0.132373928,-2.821172081,2.640316923,3.866239545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7138861,1.897554,1.781296,-2.047335,0.443384,-0.8955082,0.03820625,-0.00401164,307.4578,176.1284,186.7976,,127.4578,-3.8716,6.7976,,-0.304555777,-2.749353785,2.124350598,,-1.788547988,-8.578471351,8.144011349,11.96302618,,0.131488634,-3.191553734,3.112350919,4.459824295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7251983,1.897104,1.781033,-2.047998,0.4435915,-0.8953862,0.0385943,-0.004541278,307.4371,176.003,186.9107,,127.4371,-3.997,6.9107,,-0.283855777,-2.874753785,2.237450598,,-0.938547453,-8.192468889,7.253406523,10.98222764,,0.08324852,-3.565070497,3.544028036,5.027603075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7421431,1.897203,1.781092,-2.048108,0.4436314,-0.8953535,0.0388433,-0.004946484,307.4363,175.9132,186.9871,,127.4363,-4.0868,6.9871,,-0.283055777,-2.964553785,2.313850598,,0.165287024,-2.750816301,2.280736099,3.577159107,,0.012128216,-3.763572062,3.758412295,5.318861226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7535252,1.8974,1.781135,-2.048153,0.4435988,-0.8953696,0.03884177,-0.004964526,307.4406,175.9109,186.9877,,127.4406,-4.0891,6.9877,,-0.287355777,-2.966853785,2.314450598,,0.643829598,1.243504249,-1.408269349,1.98596121,,-0.03905735,-3.728410462,3.676355416,5.236235212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7757261,1.897329,1.780941,-2.048774,0.4434187,-0.8954711,0.03858446,-0.004757611,307.4608,175.9706,186.924,,127.4608,-4.0294,6.924,,-0.307555777,-2.907153785,2.250750598,,0.969573047,-0.117753152,0.10701596,0.982542678,,-0.044871141,-3.543212008,3.387921802,4.902487011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7977805,1.897346,1.780795,-2.049381,0.4432661,-0.8955326,0.0388782,-0.005012321,307.4835,175.9061,186.992,,127.4835,-4.0939,6.992,,-0.330255777,-2.971653785,2.318750598,,1.29969087,-5.08238886,5.314326131,7.467391453,,0.050955447,-3.284839081,3.039827229,4.475859004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8203904,1.897848,1.780848,-2.049448,0.4430535,-0.8956024,0.03959728,-0.005653582,307.519,175.7424,187.1626,,127.519,-4.2576,7.1626,,-0.365755777,-3.135353785,2.489350598,,1.349406769,-5.770673212,6.276271814,8.632100314,,0.203978766,-2.939254503,2.648205554,3.961542254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8419195,1.898361,1.78091,-2.049419,0.4429013,-0.8956535,0.04009503,-0.005976461,307.5433,175.6498,187.2704,,127.5433,-4.3502,7.2704,,-0.390055777,-3.227953785,2.597150598,,1.021244856,-2.878056786,3.084684354,4.340671547,,0.413711374,-2.296704355,1.989048766,3.066320758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8531913,1.898546,1.780925,-2.049497,0.4428275,-0.8956874,0.04013961,-0.00606064,307.5536,175.6334,187.2835,,127.5536,-4.3666,7.2835,,-0.400355777,-3.244353785,2.610250598,,0.301795812,-0.857850259,0.574352856,1.075578441,,0.600317553,-1.672810311,1.355110203,2.234949476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
